n;chiffrement;déchiffrement;signature;vérification
5;0.009582397903432138;0.09048271826322889;0.09087966187216807;0.008935221315186936
10;0.006185722936061211;0.09507706875883741;0.09517450920102419;0.005426666179846507
15;0.0044441481979447415;0.0999500947931665;0.09994521561748115;0.0036496455169981344
20;0.0036150937070488;0.10784943812614074;0.10789762009808328;0.0027643990135402417
25;0.003554223910032306;0.11998383379977895;0.11993303620547521;0.0026733597042039037
30;0.0035021606090595014;0.13537189611815847;0.13536916260200088;0.002579150912060868
35;0.0031948908930644394;0.14806584140023915;0.14800780009391018;0.0022176845071953722
40;0.00304841281613335;0.166194439890387;0.16617131398816126;0.0020281955163227393
45;0.00320141839038115;0.18020539601129712;0.18020877571834718;0.002159237684099935
50;0.003207193592970725;0.20617062999517657;0.20612745820108103;0.0021394144045189024
55;0.0029440496015013195;0.22437116520304698;0.2242683217060403;0.0018849615997169166
60;0.0031189446002827027;0.24349664300389123;0.24342854009883014;0.0020224508974933998
65;0.0029663205103133807;0.2658528779051267;0.26595439788798103;0.0018387232019449584
70;0.0032318653931724837;0.29147707048396115;0.2913856491082697;0.002103868086123839
75;0.003208542609354481;0.3245376078019035;0.3245214208945981;0.0020434807971469126
80;0.0031572471983963625;0.34641524570033655;0.34641709530114895;0.0019527177020790987
85;0.003230031103885267;0.37017357010336127;0.3701720181998098;0.002024243005143944
90;0.003246314206626266;0.42157267580623736;0.4214249474942335;0.002073005397687666
95;0.0034217752938275224;0.45625979900505625;0.45624541950237474;0.0021643896034220234
100;0.003590939595596865;0.4745171134942211;0.4745333433878841;0.002336779011238832
110;0.0033352485959767366;0.549574802092684;0.5496183172072051;0.0020131056022364645
120;0.003714005603978876;0.6178553150981315;0.6179580587064265;0.002366618991072755
130;0.0037807475033332593;0.745506041990302;0.745553089005989;0.0024050646999967283
140;0.003971860691672191;0.8239294074068312;0.8238077620990225;0.0025513607120956293
150;0.003962994297035038;0.8751618287031306;0.8752505369004211;0.0024881040037143974
160;0.004494809891912155;1.0282981393014778;1.0283482633007224;0.0029900840076152236
170;0.004154755308991298;1.0384588376065949;1.0382902280936832;0.00265918719524052
180;0.004616530102794059;1.2144372990936971;1.2139221823992556;0.0030679109942866488
190;0.004515575902769342;1.4142424475081499;1.4140359062992502;0.0029617937907460146
200;0.0041344819954247216;1.378819759398175;1.3786351944028865;0.0025068075992749073
210;0.005083345195453148;1.59029955319711;1.5895832495982176;0.0034693192021222783
220;0.005514460607082583;1.796609205204004;1.7963959356915438;0.003877899199142121
230;0.005034169503778685;2.035975677098031;2.0358267303017783;0.0033955051039811224
240;0.005324618495069444;1.9306950750091345;1.931659892697644;0.003622257799725048
250;0.0054377781008952296;2.1251158812985524;2.125271024201356;0.003708180696412455
260;0.005370708601549268;2.3641398882959037;2.3644158345967297;0.0036272116980399006
270;0.005975256695819553;2.6185101547976957;2.618714253602957;0.004233070494956337
280;0.006132443193928338;2.9237479284056462;2.9234705579976437;0.004363373495289124
290;0.00664468820032198;3.205469111195998;3.205953539899201;0.004883036098908633
