n;kmin;kmax;kmoy;tmin;tmax;tmoy
2;2;18;6.76;0.018714111998633598;0.04322359099933237;0.02251606636995348
3;2;46;9.14;0.02229822499975853;0.042352438998932485;0.029784997639908398
4;2;70;12.66;0.02796697099984158;0.06530300499980513;0.04055908764992637
5;2;54;14.44;0.040591602000858984;0.06966809700134036;0.051213578350070746
6;2;82;16.94;0.04802914199899533;0.08460099799958698;0.06027650217996779
7;2;92;20.02;0.05071736100035196;0.09555624400127272;0.06637952353010405
8;2;114;21.22;0.06317266299993207;0.12775343599969347;0.07780248397000833
9;2;102;23.92;0.06450483300068299;0.13256850499965367;0.08918043442999987
10;2;156;27.52;0.07656662599947595;0.18687211100041168;0.09919848238019767
11;2;116;32.84;0.08324452200031374;0.19815722900057153;0.11193510534994858
12;2;132;30.82;0.08625726400168787;0.19848167399868544;0.11775828283003648
13;2;204;33.06;0.09354671400069492;0.24198205200082157;0.13194695815009255
14;2;308;35.78;0.1113464930003829;0.355549465999502;0.1439230746499925
15;2;176;34.94;0.11852737200024421;0.2748217410007783;0.15369831432997672
16;2;198;40.28;0.12265860400111706;0.3113738629999716;0.16785389410008064
17;2;186;39.68;0.13244014200063248;0.33518051099963486;0.18219908789993497
18;2;192;44.36;0.14077962000010302;0.3210420659997908;0.19434927422005785
19;2;254;53.32;0.1378199240007234;0.41203580900037196;0.2128402446799555
20;2;402;51.78;0.15207111200106738;0.5718968439996388;0.2258734298699892
21;2;332;61.76;0.1630395669999416;0.5745220219996554;0.2513751309900363
22;2;250;54.36;0.16932468300001347;0.47846389900041686;0.25536434988001927
23;2;258;56.88;0.18275217600057658;0.5366785200003505;0.27234957614997257
24;2;380;54.56;0.18740585900013684;0.6631198199993378;0.28330510771987977
25;4;372;67.34;0.19938187899970217;0.7519719640004041;0.3240175348101002
26;2;308;66.36;0.22551747200122918;0.6342643549996865;0.33697714711002846
27;2;518;59.4;0.2272609840001678;0.9089883110009396;0.3433556980000139
28;2;406;65.2;0.24000911899929633;0.811519999999291;0.365722810700081
29;2;348;73.86;0.24429726699963794;0.8760837779991562;0.3959190341399335
30;2;388;68.08;0.2512143290005042;0.8563545020006131;0.4162853931301106
31;2;320;69.8;0.28747649199976877;0.7313784699999815;0.4252937635400667
32;2;454;83.92;0.28414284700011194;1.0298106339996593;0.46512136087003453
33;2;314;82.4;0.2832233190001716;1.1748547819988744;0.49203402233000815
34;4;460;82.0;0.3060257260003709;1.1164015340000333;0.4925706742198963
35;2;660;96.92;0.326156250999702;1.5531353099995613;0.5690016560299591
36;2;526;74.56;0.31471264799984056;1.3427575489986339;0.5299662154099315
37;2;534;95.04;0.34057034000034037;1.2923533490011323;0.6010404439200101
38;2;506;97.08;0.34778575400014233;1.5690642330009723;0.6168183429800592
39;6;370;82.0;0.37687868800094293;1.5793825229993672;0.6148264247399675
40;2;478;98.58;0.3773520009999629;1.3266889530004846;0.6673839826199947
41;2;492;106.2;0.3926604899988888;1.5709023290000914;0.7073160329399434
42;2;410;97.96;0.39516171800096345;1.3435115459997178;0.7077964338699166
43;2;740;99.88;0.42703124900072;2.5068457309989753;0.7809742537301463
44;4;484;96.58;0.4341652109997085;1.8291750270000193;0.7925752077301149
45;2;498;120.32;0.41399598300085927;1.845635844998469;0.8642734451799515
46;4;616;122.18;0.4506961170009163;2.696138964000056;0.9032203024099726
47;4;532;106.48;0.505622537999443;1.8486131810004736;0.8619091996599308
48;2;634;112.12;0.528991043998758;2.614586562000113;0.9317835246500726
49;2;760;103.54;0.5020461980002437;2.6581623299989587;0.9160952563499449
50;2;462;111.04;0.534884647000581;2.1903109419999964;1.0428948996298641
51;2;892;112.54;0.5479969700008951;3.359920246999536;1.011495431499934
50;4;520;122.8;0.5256647520000115;2.210172250001051;1.0106711845798964
60;2;718;150.3;0.7002798410012474;3.4323023239994654;1.4665880876900155
70;4;1002;151.58;0.9312280269987241;5.580797661999895;1.896688209459935
80;8;676;164.22;1.1997944840004493;6.135213284998827;2.527252830459911
90;2;1074;219.9;1.3471232849988155;11.19753752899851;3.6614567627798715
100;2;1272;201.62;1.6791704930001288;14.728503545000422;4.417461948270265
110;2;1398;278.14;2.0522503739994136;17.80707131700001;6.1306727745400345
120;4;2168;321.22;2.3682533699993655;29.46140395599832;8.10895040566993
130;2;1390;324.74;3.030825747999188;30.327372225001454;10.474084803890019
140;8;1848;361.54;3.7381041219996405;36.81638381599987;12.856462408799961
150;2;2976;413.38;4.969078865000483;65.9338198430014;16.04001380546997
160;12;1590;382.5;5.755585378999967;71.98404980100167;18.785193193059857
170;6;1518;340.92;5.397580662996916;53.70047376100047;19.701068030280002
180;10;1970;384.64;8.118953618999512;74.60835869899893;24.36281092289999
190;6;1746;461.62;8.957593402003113;83.25653682499978;31.62673154508997
200;10;1282;391.74;9.214844584003004;80.57073611399755;32.99433788376995
210;8;2616;535.92;12.875469998994959;155.2200155180035;44.654953259789906
220;10;3504;588.86;12.157503460002772;186.44662972800143;49.99260456952965
230;2;2144;456.48;13.133526128003723;137.25536839899723;49.12989236577989
240;6;2220;532.72;15.244324128005246;150.67198222300067;60.903906447610574
